Fiyat,Marka,Kasa_capi,Garanti_suresi,Batarya_kapasitesi,Ekran_boyutu,Sesli_gorusme,Renk,Titresim,GPS,Isletim_tipi,Kordon_renk
3690.0,7,44,2,250,1.75,1,6,1,0,0,5
14999.0,0,43,2,350,1.25,1,1,1,1,1,1
1342.0,12,45,2,250,1.75,1,6,1,0,0,5
1211.0,3,49,1,450,2.25,1,6,1,1,0,5
2430.0,7,44,2,250,1.75,1,6,1,0,0,4
38999.0,0,49,2,550,1.75,1,4,1,1,1,3
2890.0,9,45,2,900,1.75,1,7,0,0,1,7
3690.0,7,44,2,250,1.75,1,5,1,0,0,5
197.0,10,42,2,422,1.75,1,6,1,0,0,5
816.0,9,49,0,250,2.25,1,3,1,1,0,5
2949.0,5,43,2,100,1.75,1,6,0,0,0,6
1299.0,8,44,1,250,1.25,1,6,1,1,0,5
3490.0,7,44,2,250,1.75,1,1,1,0,0,5
1275.0,11,49,2,350,2.25,1,6,1,1,0,5
631.0,2,43,2,1500,4.25,1,1,1,1,0,5
2390.0,7,44,2,250,1.75,1,5,1,0,0,4
16299.0,0,45,2,250,1.75,1,5,1,1,1,4
2390.0,7,44,2,250,1.75,1,1,1,0,0,4
1334.0,3,41,1,350,1.75,1,2,1,1,0,2
6590.0,7,44,2,1500,1.75,1,6,1,1,0,5
13990.0,8,45,1,450,1.75,1,2,1,1,0,2
3690.0,7,44,2,250,1.75,1,6,1,0,0,5
14999.0,0,43,2,350,1.25,1,1,1,1,1,1
1342.0,12,45,2,250,1.75,1,6,1,0,0,5
1211.0,3,49,1,450,2.25,1,6,1,1,0,5
2430.0,7,44,2,250,1.75,1,6,1,0,0,4
38999.0,0,49,2,550,1.75,1,4,1,1,1,3
299.0,1,0,2,250,1.75,1,6,1,0,0,5
2890.0,9,45,2,900,1.75,1,7,0,0,1,7
3690.0,7,44,2,250,1.75,1,5,1,0,0,5
906.0,6,47,2,350,2.25,1,3,1,0,0,5
197.0,10,42,2,422,1.75,1,6,1,0,0,5
816.0,9,49,0,250,2.25,1,3,1,1,0,5
2949.0,5,43,2,100,1.75,1,6,0,0,0,6
1299.0,8,44,1,250,1.25,1,6,1,1,0,5
3490.0,7,44,2,250,1.75,1,1,1,0,0,5
1275.0,11,49,2,350,2.25,1,6,1,1,0,5
2899.0,9,45,2,900,1.75,1,1,0,0,1,7
631.0,2,43,2,1500,4.25,1,1,1,1,0,5
2390.0,7,44,2,250,1.75,1,5,1,0,0,4
16299.0,0,45,2,250,1.75,1,5,1,1,1,4
2390.0,7,44,2,250,1.75,1,1,1,0,0,4
1334.0,3,41,1,350,1.75,1,2,1,1,0,2
6590.0,7,44,2,1500,1.75,1,6,1,1,0,5
13990.0,8,45,1,450,1.75,1,2,1,1,0,2
3690.0,7,44,2,250,1.75,1,6,1,0,0,5
14999.0,0,43,2,350,1.25,1,1,1,1,1,1
1342.0,12,45,2,250,1.75,1,6,1,0,0,5
1211.0,3,49,1,450,2.25,1,6,1,1,0,5
2430.0,7,44,2,250,1.75,1,6,1,0,0,4
38999.0,0,49,2,550,1.75,1,4,1,1,1,3
906.0,6,47,2,350,2.25,1,3,1,0,0,5
816.0,9,49,0,250,2.25,1,3,1,1,0,5
1299.0,8,44,1,250,1.25,1,6,1,1,0,5
2949.0,5,43,2,100,1.75,1,6,0,0,0,6
1275.0,11,49,2,350,2.25,1,6,1,1,0,5
3490.0,7,44,2,250,1.75,1,1,1,0,0,5
631.0,2,43,2,1500,4.25,1,1,1,1,0,5
2899.0,9,45,2,900,1.75,1,1,0,0,1,7
16299.0,0,45,2,250,1.75,1,5,1,1,1,4
2390.0,7,44,2,250,1.75,1,5,1,0,0,4
1334.0,3,41,1,350,1.75,1,2,1,1,0,2
